"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000182636",136.475486985203,-0.732885069433689,0.268352727790467,-2.73105131245744,0.00631326412720629,0.818795231650607
"ENSG00000188163",44.7552573038363,-1.02832595312708,0.375133929113224,-2.7412235293084,0.0061210849666988,0.818795231650607
"ENSG00000218336",229.634716060055,0.474226747547392,0.173392405832765,2.73499145057586,0.0062381896272423,0.818795231650607
"ENSG00000229833",64.7229137660967,-0.627724339049913,0.229138083469062,-2.7395024412634,0.00615322578303388,0.818795231650607
"ENSG00000230455",133.646807142496,-0.526383001962428,0.192647745171502,-2.73236004653894,0.00628823809058386,0.818795231650607
"ENSG00000231701",141.573917246012,-0.499560003938643,0.181485386830284,-2.75261833838891,0.00591207750832419,0.818795231650607
"ENSG00000232111",110.47289825916,-1.37299448424631,0.49938748640413,-2.74935700558426,0.00597123103427653,0.818795231650607
"ENSG00000233844",253.517691979821,0.854142722061245,0.310942201719681,2.74695013200964,0.00601522797587826,0.818795231650607
"ENSG00000264098",22.8139393301063,-1.53946315968125,0.56379084273939,-2.73055722615356,0.00632273549130042,0.818795231650607
"ENSG00000271687",252.194602928118,-1.38145703325434,0.506033875985919,-2.72996947202954,0.00633401907011541,0.818795231650607
"ENSG00000127241",196.018121611816,-0.709759414718569,0.260605972682896,-2.72349634742332,0.00645949298786108,0.829273453573182
"ENSG00000224599",138.180209807249,-0.498622907875057,0.183193139003693,-2.7218426988415,0.00649190354149841,0.829273453573182
"ENSG00000231595",26.1474409030304,-0.837340548668877,0.308651005353641,-2.71290400531656,0.00666964244747006,0.846966124446962
"ENSG00000232056",92.6473175804817,1.03585269213657,0.382987686870644,2.7046631723344,0.00683736799911057,0.858169188167436
"ENSG00000248449",63.1921560461692,0.70597894278475,0.261018521688153,2.70470822613962,0.00683644080864577,0.858169188167436
"ENSG00000111371",1374.39443138629,-0.862099703757722,0.319568376475938,-2.6977002958321,0.00698202681047748,0.868771316588011
"ENSG00000165730",31.7840893894321,0.77911439563117,0.28927007841164,2.69338052490333,0.00707314907048257,0.868771316588011
"ENSG00000172380",415.310192776839,-0.510894192191247,0.189850390123534,-2.69103577748149,0.00712305554178608,0.868771316588011
"ENSG00000172943",337.057339194093,0.421996407538779,0.156814749636419,2.69105048164916,0.00712274159034348,0.868771316588011
"ENSG00000239246",20.7615246779047,-0.896805135850605,0.332624986741755,-2.69614482253815,0.00701471614234438,0.868771316588011
"ENSG00000100911",211.036736065959,-0.497966585525164,0.185250194906081,-2.68807590608812,0.0071865058281914,0.871585886623573
"ENSG00000008517",160.87456398147,-1.26106311844582,0.472675964266977,-2.66792308849778,0.00763217273032397,0.881087405894299
"ENSG00000010704",83.0363093311939,0.59313048317284,0.221917139301648,2.67275652993439,0.00752308294382878,0.881087405894299
"ENSG00000139597",213.490755328177,0.461915488544308,0.172611836748108,2.67603599640956,0.00744986432484883,0.881087405894299
